1	Dengue	dengue
2	Pericoronitis	pericoronitis
3	"Septick shock"	"septick shock"
3	"Septicaemia shock"	"septicaemia shock"
3	"Sepsis syndrome"	"sepsis syndrome"
3	Septicaemia	septicaemia
4	Lymphangitis	lymphangitis
5	"Brazilian purpuric fever"	"brazilian purpuric fever"
6	DVT	dvt
6	"Deep vein thrombosis"	"deep vein thrombosis"
7	"Maffucci syndrome"	"maffucci syndrome"
7	"Multiple enchondrosis"	"multiple enchondrosis"
7	"Ollier disease"	"ollier disease"
7	Enchondromatosis	enchondromatosis
8	"Folate deficiency"	"folate deficiency"
8	"Folic acid deficiency"	"folic acid deficiency"
9	"Chromium deficiency"	"chromium deficiency"
